questionID,,,,,,
Title_question,Table name,Table description,Column name,Column description,Data type,Sensitive
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,Date,Date survey completed,date,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,ParticipantType,BiB participant type,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,AgeMonths,Age in months at survey completion,decimal,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,AgeYears,Age in years at survey completion,decimal,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,SurveyYear,Calendar year at survey completion,decimal,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,SurveyMonth,Calendar month at survey completion,decimal,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,lsid,Survey version identifier,decimal,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,survey_version,Survey version,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,survey_mode,Survey completion mode,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,survey_language,Survey completion language,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDateQuestionnaire,Date questionnaire completed,date,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMainCarer,Is the participant the main carer for the child?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtLiveSameHouse,Do you live in the same household as the BiB child all the time?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSameHouseholdNo,Do you live in the same household as the BiB child:,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtRelationStatus,Relationship status,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPregnant,Are you pregnant?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPregnantWeeks,How many weeks pregnant are you,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtBabyLast12month,Have you had a baby in the last 12 months?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseholdOccupy,In which of these ways does your household occupy this address?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtNoBedrooms,Number of bedrooms in your house,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSatisfiedParks,How do you feel about the parks/green spaces in your local area,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtOftenVisitParks_1,How often do you visit the park in the winter months (Sep-Mar),categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtOftenVisitParks_2,How often do you visit the park during spring and summer (Apr-Aug),categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtWhereEducation,Where did you obtain your highest educational qualification?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducEngland,State highest qualification if it was obtained in England,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducEngland_other,State highest qualification if it was obtained in England (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducPakistan,State highest qualification if it was obtained in Pakistan,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducPakistan_other,State highest qualification if it was obtained in Pakistan (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducIndia,State highest qualification if it was obtained in India,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducIndia_other,State highest qualification if it was obtained in India (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducBangladesh,State highest qualification if it was obtained in Bangladesh,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducBangladesh_other,State highest qualification if it was obtained in Bangladesh (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducPoland,State highest qualification if it was obtained in Poland,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducPoland_other,State highest qualification if it was obtained in Poland (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducSlovakia,State highest qualification if it was obtained in Slovakia,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducHungary,State highest qualification if it was obtained in Hungary,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,gaudtEducOtherCountry,Mother's education - other country,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducElseOtherPlace,Place of education (other country),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducElseOtherLevel,Level of education (other country),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducElseOtherCourse,Level/name of course (other country),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducMotherHighest,Mother's highest education level (derived),categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartnerWherEduc,Where did your partner obtain their highest educational qualification?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducEngland,State partner's highest qualification if it was obtained in England,categorical,FALSE
