source_mongo_object_id,target_mongo_object_id,linkage_type,direct_linkage,description
60780ec6a2aac55838b0a464,66ab675ac2ef298c8738b173,linkedDatasets,1,"'BHDP - Prescribing Information System (PIS)' matched to 'Prescribing Information System (PIS)' : Computed from Mk1, Fuzz Score = 91.14"
60a77677fc1e5693d7a3cfc6,60a65e1768470317e3cfa907,linkedDatasets,1,"'UK Renal Registry - CKD and AKI on Dialysis Dataset' matched to 'UK Renal Registry - CKD and AKI on Dialysis dataset' : Computed from Mk1, Fuzz Score = 98.04"
60cca8d95da5014f627754ba,61f160a377c1555ddd79ccdc,isDerivedFrom,1,"'Covid-19 Infection Survey' matched to 'Covid-19 Infection Survey' : Computed from Mk1, Fuzz Score = 100.0"
6125ff0b456973083d26f472,6552258f1516da6fd21ce4ba,linkedDatasets,1,"'COVID antigen testing - Pillar 2' matched to 'COVID Antigen Testing Pillar 2' : Computed from Mk1, Fuzz Score = 90.32"
61323767d3df0edab17e2db6,648a548aab1f6e997d223394,linkedDatasets,1,"'COVID-19 SARI-Watch (formerly CHESS)' matched to 'COVID-19 SARI-Watch (formerly CHESS)' : Computed from Mk1, Fuzz Score = 100.0"
61323767d3df0edab17e2db6,648a548aab1f6e997d223393,linkedDatasets,1,"'Civil Registration - Deaths' matched to 'Civil Registration - Deaths' : Computed from Mk1, Fuzz Score = 100.0"
61323767d3df0edab17e2db6,641cf6257947ddba56f5d904,linkedDatasets,1,"'Covid-19 Second Generation Surveillance System' matched to 'Covid-19 Second Generation Surveillance System' : Computed from Mk1, Fuzz Score = 100.0"
61323767d3df0edab17e2db6,641cf6257947ddba56f5d90a,linkedDatasets,1,"'Emergency Care Data Set (ECDS)' matched to 'Emergency Care Data Set (ECDS)' : Computed from Mk1, Fuzz Score = 100.0"
61323767d3df0edab17e2db6,641cf6257947ddba56f5d911,linkedDatasets,1,"'Hospital Episode Statistics Accident and Emergency' matched to 'Hospital Episode Statistics Accident and Emergency' : Computed from Mk1, Fuzz Score = 100.0"
61323767d3df0edab17e2db6,641cf6257947ddba56f5d913,linkedDatasets,1,"'Hospital Episode Statistics Admitted Patient Care' matched to 'Hospital Episode Statistics Admitted Patient Care' : Computed from Mk1, Fuzz Score = 100.0"
61323767d3df0edab17e2db6,641cf6257947ddba56f5d909,linkedDatasets,1,"'Hospital Episode Statistics Critical Care' matched to 'Hospital Episode Statistics Critical Care' : Computed from Mk1, Fuzz Score = 100.0"
61323767d3df0edab17e2db6,641cf6257947ddba56f5d90d,linkedDatasets,1,"'Hospital Episode Statistics Outpatients' matched to 'Hospital Episode Statistics Outpatients' : Computed from Mk1, Fuzz Score = 100.0"
61323d2ed3df0e166d7e34f3,648a548aab1f6e997d223394,linkedDatasets,1,"'COVID-19 SARI-Watch (formerly CHESS)' matched to 'COVID-19 SARI-Watch (formerly CHESS)' : Computed from Mk1, Fuzz Score = 100.0"
61323d2ed3df0e166d7e34f3,648a548aab1f6e997d223393,linkedDatasets,1,"'Civil Registration - Deaths' matched to 'Civil Registration - Deaths' : Computed from Mk1, Fuzz Score = 100.0"
61323d2ed3df0e166d7e34f3,641cf6257947ddba56f5d904,linkedDatasets,1,"'Covid-19 Second Generation Surveillance System' matched to 'Covid-19 Second Generation Surveillance System' : Computed from Mk1, Fuzz Score = 100.0"
61323d2ed3df0e166d7e34f3,641cf6257947ddba56f5d90a,linkedDatasets,1,"'Emergency Care Data Set (ECDS)' matched to 'Emergency Care Data Set (ECDS)' : Computed from Mk1, Fuzz Score = 100.0"
61323d2ed3df0e166d7e34f3,641cf6257947ddba56f5d911,linkedDatasets,1,"'Hospital Episode Statistics Accident and Emergency' matched to 'Hospital Episode Statistics Accident and Emergency' : Computed from Mk1, Fuzz Score = 100.0"
61323d2ed3df0e166d7e34f3,641cf6257947ddba56f5d913,linkedDatasets,1,"'Hospital Episode Statistics Admitted Patient Care' matched to 'Hospital Episode Statistics Admitted Patient Care' : Computed from Mk1, Fuzz Score = 100.0"
61323d2ed3df0e166d7e34f3,641cf6257947ddba56f5d909,linkedDatasets,1,"'Hospital Episode Statistics Critical Care' matched to 'Hospital Episode Statistics Critical Care' : Computed from Mk1, Fuzz Score = 100.0"
61323d2ed3df0e166d7e34f3,641cf6257947ddba56f5d90d,linkedDatasets,1,"'Hospital Episode Statistics Outpatients' matched to 'Hospital Episode Statistics Outpatients' : Computed from Mk1, Fuzz Score = 100.0"
613242e5d3df0e5c567e3f15,648a548aab1f6e997d223394,linkedDatasets,1,"'COVID-19 SARI-Watch (formerly CHESS)' matched to 'COVID-19 SARI-Watch (formerly CHESS)' : Computed from Mk1, Fuzz Score = 100.0"
613242e5d3df0e5c567e3f15,648a548aab1f6e997d223393,linkedDatasets,1,"'Civil Registration - Deaths' matched to 'Civil Registration - Deaths' : Computed from Mk1, Fuzz Score = 100.0"
613242e5d3df0e5c567e3f15,641cf6257947ddba56f5d904,linkedDatasets,1,"'Covid-19 Second Generation Surveillance System' matched to 'Covid-19 Second Generation Surveillance System' : Computed from Mk1, Fuzz Score = 100.0"
613242e5d3df0e5c567e3f15,641cf6257947ddba56f5d90a,linkedDatasets,1,"'Emergency Care Data Set (ECDS)' matched to 'Emergency Care Data Set (ECDS)' : Computed from Mk1, Fuzz Score = 100.0"
613242e5d3df0e5c567e3f15,641cf6257947ddba56f5d911,linkedDatasets,1,"'Hospital Episode Statistics Accident and Emergency' matched to 'Hospital Episode Statistics Accident and Emergency' : Computed from Mk1, Fuzz Score = 100.0"
613242e5d3df0e5c567e3f15,641cf6257947ddba56f5d913,linkedDatasets,1,"'Hospital Episode Statistics Admitted Patient Care' matched to 'Hospital Episode Statistics Admitted Patient Care' : Computed from Mk1, Fuzz Score = 100.0"
613242e5d3df0e5c567e3f15,641cf6257947ddba56f5d909,linkedDatasets,1,"'Hospital Episode Statistics Critical Care' matched to 'Hospital Episode Statistics Critical Care' : Computed from Mk1, Fuzz Score = 100.0"
613242e5d3df0e5c567e3f15,641cf6257947ddba56f5d90d,linkedDatasets,1,"'Hospital Episode Statistics Outpatients' matched to 'Hospital Episode Statistics Outpatients' : Computed from Mk1, Fuzz Score = 100.0"
6132473cd3df0ec6947e42a5,648a548aab1f6e997d223394,linkedDatasets,1,"'COVID-19 SARI-Watch (formerly CHESS)' matched to 'COVID-19 SARI-Watch (formerly CHESS)' : Computed from Mk1, Fuzz Score = 100.0"
6132473cd3df0ec6947e42a5,648a548aab1f6e997d223393,linkedDatasets,1,"'Civil Registration - Deaths' matched to 'Civil Registration - Deaths' : Computed from Mk1, Fuzz Score = 100.0"
6132473cd3df0ec6947e42a5,641cf6257947ddba56f5d904,linkedDatasets,1,"'Covid-19 Second Generation Surveillance System' matched to 'Covid-19 Second Generation Surveillance System' : Computed from Mk1, Fuzz Score = 100.0"
6132473cd3df0ec6947e42a5,641cf6257947ddba56f5d90a,linkedDatasets,1,"'Emergency Care Data Set (ECDS)' matched to 'Emergency Care Data Set (ECDS)' : Computed from Mk1, Fuzz Score = 100.0"
6132473cd3df0ec6947e42a5,641cf6257947ddba56f5d911,linkedDatasets,1,"'Hospital Episode Statistics Accident and Emergency' matched to 'Hospital Episode Statistics Accident and Emergency' : Computed from Mk1, Fuzz Score = 100.0"
6132473cd3df0ec6947e42a5,641cf6257947ddba56f5d913,linkedDatasets,1,"'Hospital Episode Statistics Admitted Patient Care' matched to 'Hospital Episode Statistics Admitted Patient Care' : Computed from Mk1, Fuzz Score = 100.0"
6132473cd3df0ec6947e42a5,641cf6257947ddba56f5d909,linkedDatasets,1,"'Hospital Episode Statistics Critical Care' matched to 'Hospital Episode Statistics Critical Care' : Computed from Mk1, Fuzz Score = 100.0"
