member_of,name,data_provider
ALLIANCE,NHS DIGITAL,
HUB,INSIGHT,
ALLIANCE,NEONATAL DATA ANALYSIS UNIT - IMPERIAL COLLEGE LONDON,
ALLIANCE,PUBLIC HEALTH SCOTLAND,Yes
ALLIANCE,SAIL,Yes
ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,
ALLIANCE,OXFORD UNIVERSITY HOSPITALS,
OTHER,HEALTH DATA RESEARCH UK,
NCS,OFFICE FOR NATIONAL STATISTICS,Yes
ALLIANCE,ISARIC 4C,
ALLIANCE,AVON LONGITUDINAL STUDY OF PARENTS AND CHILDREN,
ALLIANCE,BARTS HEALTH,Yes
OTHER,BHF Data Science Centre,
HUB,BREATHE,
ALLIANCE,COVID-19 GENOMICS UK,
ALLIANCE,CPRD,Yes
ALLIANCE,CYSTIC FIBROSIS TRUST,Yes
HUB,DATA-CAN,
HUB,DISCOVER NOW,Yes
ALLIANCE,GENERATION SCOTLAND,
ALLIANCE,GENOMICS ENGLAND,Yes
ALLIANCE,GREAT ORMOND STREET HOSPITAL,Yes
HUB,GUT REACTION,
ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,Yes
ALLIANCE,HQIP,Yes
ALLIANCE,IMPERIAL COLLEGE LONDON,
ALLIANCE,NHSX,
ALLIANCE,NIHR BIORESOURCE,
OTHER,NIHR Health Informatics Collaborative Cardiovascular Theme,
OTHER,NIHR Health Informatics Collaborative Critical Care Theme,
OTHER,NIHR Health Informatics Collaborative Renal Transplantation Theme,
OTHER,NIHR Health Informatics Collaborative Viral Hepatitis Theme,
HUB,PIONEER,Yes
ALLIANCE,UK HEALTH SECURITY AGENCY,
ALLIANCE,ROYAL COLLEGE OF GENERAL PRACTITIONERS,
ALLIANCE,SLaM,
ALLIANCE,TISSUE DIRECTORY,
OTHER,The University of Cambridge,
ALLIANCE,UK Biobank,Yes
OTHER,UK Longitudinal Linkage Collaboration (UK LLC),
OTHER,UNIVERSITY COLLEGE LONDON,
ALLIANCE,UNIVERSITY HOSPITALS OF LEICESTER,
OTHER,UNIVERSITY OF CAMBRIDGE,
ALLIANCE,UNIVERSITY OF NOTTINGHAM,
OTHER,VIKING GENES,
ALLIANCE,GSTT,
ALLIANCE,NIHR CLINICAL RESEARCH NETWORK,
ALLIANCE,RENAL ASSOCIATION,
OTHER,MRC EPIDEMIOLOGY UNIT - UNIVERSITY OF CAMBRIDGE,
OTHER,GODARTS,
ALLIANCE,PARKINSONS UK,
ALLIANCE,BRAIN TUMOUR CHARITY,
OTHER,OPTIMUM PATIENT CARE,
OTHER,HDR UK NORTH,
OTHER,TWINS UK,
OTHER,Born in Bradford,
OTHER,AIRWAVE,
HUB,ALLEVIATE,
ALLIANCE,DataLoch,Yes
HUB,DATAMIND,
OTHER,Anaeko &amp; Digital Care Systems,
ALLIANCE,QResearch,
OTHER,Cicely Saunders Institute - Kings College London,
ALLIANCE,Human Fertilisation and Embryology Authority,
OTHER,Oxford Research Archive,
ALLIANCE,Grampian Data Safe Haven (DaSH) &ndash; University of Aberdeen,
ALLIANCE,NIHR Nottingham Biomedical Research Centre,
ALLIANCE,"Research and Innovation at Nottingham University Hospitals, NHS Trust",
OTHER,UCLEB Consortium,
ALLIANCE,Royal Marsden NHS Foundation Trust,
ALLIANCE,Cancer Research Horizons,
OTHER,CogStack  - King&rsquo;s College Hospital,
OTHER,"The EPIC-Oxford Study, Cancer Epidemiology Unit, Nuffield Department of Population Health, University of Oxford",
ALLIANCE,MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,
ALLIANCE,MRC NATIONAL SURVEY OF HEALTH AND DEVELOPMENT (NSHD),
ALLIANCE,NHS ENGLAND,Yes
OTHER,INTERNATIONAL COVID-19 DATA ALLIANCE (ICODA),
ALLIANCE,PathLAKE,
ALLIANCE,"BRITISH REGIONAL HEART STUDY, RESEARCH DEPARTMENT OF PRIMARY CARE &amp; POPULATION HEALTH, UCL",
ALLIANCE,DPUK DATA PORTAL,Yes
