Publisher,id,doiName,Dataset Title,Abstract,Keywords,Description,Possible Category,Possible Sub Category,Matched Field,Mapped Data type,Mapped Data sub type,Annotation note link,Github tool link,Synthetic dataset link,Frequency dataset link
pioneer,5297c02c-7259-4d9f-8de6-9ac5abe0ba73,, nt-probnp in critically ill patients with sepsis: a nihr birmingham brc dataset,"a national institute for health and care research (nihr) birmingham biomedical research centre (brc) dataset featuring serial nt-probnp measurements from a diverse cohort of intensive care patients with sepsis, ards, and polytrauma.","['ICU', 'Prognostication', 'Inflammation', 'Cardiovascular', 'Biomarkers', 'Cohort', 'Acute', 'Sepsis', 'ARDS', 'Polytrauma']","a dataset of 552 patients  who have been cared for on icu.

natriuretic peptides are special proteins produced by the heart, with the two key types being bnp and nt-probnp. nt-probnp is particularly useful in managing heart failure and assessing the risk of heart problems. this marker is not just for heart failure; studies have suggested that nt-probnp levels during the acute phase of sepsis may be a useful indicator of higher risk of long-term impairments in physical function and muscle strength in sepsis survivors.

this dataset includes detailed demographic information, comorbidities and admission reasons and journeys for patients who have required an intensive care admission.  the data includes serial physiological and blood test measurements reflecting the severity of the patient’s condition, imaging and other investigative results, treatments, and outcomes. this data is invaluable in identifying the clinical utility of nt-probnp as a potential prognostic marker for future complications and mortality.

pioneer geography: the west midlands (wm) has a population of 6.2 million & includes a diverse ethnic & socio-economic mix. 
ehr: uhb is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 itu bed capacity during covid. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary & secondary care record (your care connected) & a patient portal “my health.”

scope:  patients without chronic heart failure or acute heart failure diagnoses admitted to icu with sepsis, acute respiratory failure (specifically ards) or polytrauma without severe head injury; with at least one measurement of nt-probnp at any time from 3-months pre-icu admission to 6 months post-icu discharge

longitudinal & individually linked, so that the preceding & subsequent health journey can be mapped & healthcare utilisation prior to & after admission understood. the dataset includes highly granular patient demographics & co-morbidities taken from icd-10 & snomed-ct codes. serial, structured data pertaining to acute care process (timings, hospital mortality, length of stays, readmissions), intensive care details, primary diagnosis, sofa score & apache ii scores, nt-probnp results & outcomes.

available supplementary data: matched controls; ambulance, omop data, synthetic data.

available supplementary support: pioneer can also offer analytics, model build, validation & refinement; a.i.; data partner support for etl (extract, transform & load) process, clinical expertise, patient & end-user access, purchaser access, regulatory requirements, data-driven trials, “fast screen” services.

this research is supported by the national institute for health and care research (nihr) birmingham biomedical research centre (brc), specifically the infections and acute care theme. 

",['health and disease'],['respiratory'],"['{Field: Description, Value: respiratory}']",Health and Disease; Treatment /Intervention,Cardiovascular,,,,
pioneer,32639ab2-f23c-4d2b-96f8-c2139d50563b,,a dataset of hospitalised patients with sarcoma,"cancer diagnoses before and after hospitalisation. this dataset includes 907 patients from 2004 to present, including granular ethnicity, multi morbidity, serial physiology, blood biomarkers, intervention and outcome data. ","['sarcoma', 'angiosarcoma', 'Bone sarcoma', 'soft tissue', 'diagnosis', 'mesolthelioma', 'blood biomarkers', 'Co-Morbidity', 'Cancer', 'Prescriptions', 'physiology', 'Radiology', 'lymphocyte', 'platelets']","background 

sarcomas are uncommon cancers that can affect any part of the body. there are many different types of sarcoma and subtypes can be grouped into soft tissue or bone sarcomas. about 15 people are diagnosed every day in the uk. 3 in every 200 people with cancer in the uk have sarcoma. 

a highly granular dataset with a confirmed sarcoma event including hospital presentation, serial physiology, demography, treatment prescribed and administered, prescribed and administered drugs. the infographic includes data from 27/12/2004 to 31/12/2021 but data is available from the past 10 years+.  

pioneer geography: the west midlands (wm) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix.  

ehr. uhb is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 itu bed capacity during covid. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary & secondary care record (your care connected) & a patient portal “my health”. 

scope: all hospitalised patients from 2004 onwards, curated to focus on sarcoma. longitudinal & individually linked, so that the preceding & subsequent health journey can be mapped & healthcare utilisation prior to & after admission understood. the dataset includes highly granular patient demographics & co-morbidities taken from icd-10 & snomed-ct codes. serial, structured data pertaining to acute care process (timings, staff grades, specialty review, wards and triage). along with presenting complaints, outpatients admissions, microbiology results, referrals, procedures, therapies, all physiology readings (pulse, blood pressure, respiratory rate, oxygen saturations and others), and all blood results (urea, albumin, platelets, white blood cells and others). includes all prescribed & administered treatments and all outcomes.  linked images are also available (radiographs, ct scans, mri). 

available supplementary data: matched controls; ambulance, omop data, synthetic data. 

available supplementary support: analytics, model build, validation & refinement; a.i.; data partner support for etl (extract, transform & load) process, clinical expertise, patient & end-user access, purchaser access, regulatory requirements, data-driven trials, “fast screen” services. ","['health and disease', 'imaging type', 'imaging type', 'socioeconmic']","['cancer', 'respiratory', 'ethnicity']","['{Field: Abstract, Value: cancer}', '{Field: Description, Value: cancer}', '{Field: Description, Value: respiratory}', '{Field: Description, Value: ct}', '{Field: Description, Value: mri}', '{Field: Abstract, Value: ethnicity}']",Health and Disease; Treatment /Intervention,Cancer; Rare disease,,,,
pioneer,8bffc58f-c78c-43c4-b74b-c94479a76f91,,a dataset of monitored patient safety indicators in 3 acute hospital settings,monthly nursing quality and safety key indicator data (numerator and denominator) across 3 hospital sites. data prior and post migration to a new electronic health system (ehs) to enable the impact on patient safety and clinical quality to be measured.,"['Acute Care', 'patient pathways', 'patient safety', 'Quality Outcomes', 'Admissions', 'Computerised Point of Entry System', 'Clinical efficiency', 'Electronic Health Records', 'Indicators', ' drugs', 'medicines', 'observations', 'blood pressure', 'pulse rate', 'oxygen saturations', 'Prescriptions', 'drug administrations', 'late doses', 'missed doses']","background. electronic health records (ehrs) embedded into hospital systems have been reported to have benefits including reductions in patient safety events.

the dataset includes the summarised performance of three key clinical indicators. these nursing indicators are based on clinical quality and patient safety. data is provided prior and post migration to a fully integrated electronic health system (ehs) with monthly numerator and denominators. the data covers the implementation at three hospital sites in birmingham. further supporting data can be requested from pioneer to analyse the impact on patient safety and key outcomes such a mortality, length of stay, escalation to intensive care and readmissions.

pioneer geography: the west midlands (wm) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix.

electronic health record. uhb is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 itu bed capacity during covid. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems) and this record includes the adoption of the ehr at two new hospital sites, a shared primary & secondary care record (your care connected) & a patient portal “my health”.

scope: the dataset includes summarised data for performance of three clinical indicators, primarily:

- late/missed antibiotics – this is the prescribed dose administered on time, late or missed by ward area each month.

- late/missed non-antibiotics – this is the prescribed medication (excluding antibiotics) which have been administered on time, administered late or missed by ward area each month.

- 12 hour observations – a measure to assess that a patient has a full set of physiological observations taken every 12 hours. these include temperature, blood pressure, respiratory rate and oxygen saturations. the data within this dataset are only the compliance count, but pioneer has full results available on request.

available supplementary data: matched controls; synthetic data.

available supplementary support: analytics, model build, validation & refinement; a.i.; data partner support for etl (extract, transform & load) process, clinical expertise, patient & end-user access, purchaser access, regulatory requirements, data-driven trials, “fast screen” services.",['health and disease'],['respiratory'],"['{Field: Description, Value: respiratory}']",Health and Disease; Measurement/test,Other,,,,
pioneer,483be944-b3ea-4037-b22b-4e9ffca3e613,,a granular assessment of the day-to-day variation in emergency presentations,"a granular dataset of over 65,000 emergency admissions, with detailed patient flow through hospital detailing day-to-day variation in case mix.   severity, demographics, multi-morbidity, completion of review, interventions, treatments and outcomes.","['Acute Care', 'Same Day Emergency Care', 'SDEC', 'Waiting Times', 'Emergency Department', 'Overcrowding', 'KPIs', 'Performance', 'Longitudinal data', ' ED', 'demography', 'age', 'Ethnicity', 'socioeconomic deprivation', 'frailty', 'multi-morbidity', 'Pathway', 'observations', 'pulse rate', 'respiratory rate', 'blood pressure', 'oxygenation', 'pulse oximetry', 'NEWS2', 'SEWS', 'investigations', 'Imaging', 'pathology', 'symptoms', 'diagnoses', 'outcomes medical review', 'Death', 'clinical speciality', 'biomarkers', 'bloods', 'acute hospitals', 'care escalation', 'Therapies', 'Patient', 'Longitudinal', 'readmissions']","the acute-care pathway (from the emergency department (ed) through acute medical units or ambulatory care and on to wards) is the most visible aspect of the hospital health-care system to most patients. acute hospital admissions are increasing yearly and overcrowded emergency departments and high bed occupancy rates are associated with a range of adverse patient outcomes. predicted growth in demand for acute care driven by an ageing population and increasing multimorbidity is likely to exacerbate these problems in the absence of innovation to improve the processes of care.   

key targets for emergency medicine services are changing, moving away from previous 4-hour targets. this will likely impact the assessment of patients admitted to hospital through emergency departments.  

this data set provides highly granular patient level information, showing the day-to-day variation in case mix and acuity.  the data includes detailed demography, co-morbidity, symptoms, longitudinal acuity scores, physiology and laboratory results, all investigations, prescriptions, diagnoses and outcomes.  it could be used to develop new pathways or understand the prevalence or severity of specific disease presentations.   

pioneer geography: the west midlands (wm) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix.  

electronic health record: university hospital birmingham is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 itu bed capacity during covid. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary & secondary care record (your care connected) & a patient portal “my health”. 

scope: all patients with a medical emergency admitted to hospital, flowing through the acute medical unit. longitudinal & individually linked, so that the preceding & subsequent health journey can be mapped & healthcare utilisation prior to & after admission understood. the dataset includes patient demographics, co-morbidities taken from icd-10 & snomed-ct codes. serial, structured data pertaining to process of care (timings, admissions, wards and readmissions), physiology readings (news2 score and clinical frailty scale), charlson comorbidity index and time dimensions. 

available supplementary data: matched controls; ambulance data, omop data, synthetic data. 

available supplementary support: analytics, model build, validation & refinement; a.i.; data partner support for etl (extract, transform & load) process, clinical expertise, patient & end-user access, purchaser access, regulatory requirements, data-driven trials, “fast screen” services. ","['measurement/test', 'socioeconmic']","['laboratory', 'ageing ']","['{Field: Description, Value: laboratory}', '{Field: Description, Value: ageing }']",Health and Disease; Measurement/test,Other,,,,
pioneer,31b7387f-5760-4c82-b320-051b3f18180d,,"a synthetic dataset of 15,000 ""patients"" with community acquired pneumonia (cap)","cap is common, has variable outcomes and a complex management pathway. hospital-based decision support algorithms would be highly valuable. this is a diverse and realistic synthetic dataset of 15,000 “cap patients” to facilitate algorithm development.","['Synthetic data', 'age', 'Ethnicity', 'socioeconomic data', 'multi-morbidity', 'comorbidity', 'severity', 'CURB-65', 'Oxygenation', 'pulse', 'oxygen saturations', 'blood pressure', 'hospital length of stay', 'ward admission', 'ITU ', 'treatments', 'antibiotics', 'Outcomes', 'Mortality', 'morbidity', 'machine learning', 'community acquired pneumonia', 'offline reinforcement learning', 'Critical Care', 'CAP', ' Artificial Intelligence', 'Healthcare', 'Algorithm', 'diagnosis', 'Hospitalisation', 'smoking status']","community acquired pneumonia (cap) is the leading cause of infectious death and the third leading cause of death globally. disease severity and outcomes are highly variable, dependent on host factors (such as age, smoking history, frailty and comorbidities), microbial factors (the causative organism) and what treatments are given. clinical decision pathways are complex and despite guidelines, there is significant national variability in how guidelines are adhered to and patient outcomes.

for clinicians treating pneumonia in the hospital setting, care of these patients can be challenging. key decisions include the type of antibiotics (oral or intravenous), the appropriate place of care (home, hospital or intensive care), and when it is appropriate to stop antibiotics. decision support tools to help inform clinical management would be highly valuable to the clinical community.

this dataset is synthetic, formed from statistical modelling using real patient data, and represents a population with significant diversity in terms of patient demography, socio-economic status, cap severity, treatments and outcomes. it can be used to develop code for deployment on real data, train data analysts and increase familiarity with this disease and its management.

pioneer geography: the west midlands (wm) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix. 

ehr. uhb is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 itu bed capacity during covid. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary & secondary care record (your care connected) & a patient portal “my health”.  this synthetic dataset has been modelled to reflect data collected from this ehr.

scope: a synthetic dataset which has been statistically modelled on all hospitalised patients admitted to uhb  with community acquired pneumonia. the dataset includes highly granular patient demographics & co-morbidities taken from icd-10 & snomed-ct codes. serial, structured data pertaining to process of care including timings, admissions, escalation of care to itu, discharge outcomes, physiology readings (heart rate, blood pressure, avpu score and others), blood results and drug prescribing and administration.

available supplementary data: matched synthetic controls; ambulance, omop data, real patient cap data.
available supplementary support: analytics, model build, validation & refinement; a.i.; data partner support for etl (extract, transform & load) process, clinical expertise, patient & end-user access, purchaser access, regulatory requirements, data-driven trials, “fast screen” services.",['lifestyle'],['smoking'],"['{Field: Description, Value: smoking}']",Health and Disease; Treatment /Intervention,Respiratory,,,Yes,
pioneer,2bf8297c-bdc9-4ab6-8e2b-6ad5c46c2fe9,,admission patterns in multiple long-term conditions: nihr/ukri admission dataset,"longitudinal data (>10-years) for >70,000 patients, including accrual of comorbidities, acute admissions and outcomes, detailed demographics, icd-10 codes, and time-stamped acute care data including acuity, physiology, investigations and medicines.","['Co-Morbidity', 'long-term conditions', 'multimorbidity', 'MLTC', 'Birmingham', 'West Midlands', 'Survival rates', 'disease impact', 'outcomes', 'mortality', 'acute care admissions', 'co-morbidities', 'prevalence', 'clustering', 'ageing', 'conditions', 'epidemiology', 'quality of life']","this dataset forms part of admission, the nihr and ukri funded programme of work to better understand and to design healthcare services which are better able to care for patients with multiple long term conditions.
  
this dataset includes >70,000 adult patients who were acutely admitted to hospital. it includes longitudinal and detailed data for these people over 10-years, designed to trace the accrual, progression and impact of multiple co-morbidities as well as acute health care use and outcomes. 

the dataset contains highly granular data regarding patient demographics and the specific co-morbidities associated with each patient, categorised according to icd-10 codes. it provides a structured sequence of data related to the acute care and inpatient process, capturing critical timings, acuity, medications, laboratory results, observations, readmissions, and mortality rates. 

geography: the west midlands (wm) has a population of 6 million & includes a diverse ethnic & socio-economic mix. uhb is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & > 120 itu bed capacity. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary & secondary care record (your care connected) & a patient portal “my health”.

data set availability:  data access is available via the pioneer hub for projects which will benefit the public or patients.  this can be by developing a new understanding of disease, by providing insights into how to improve care, or by developing new models, tools, treatments, or care processes.  data access can be provided to nhs, academic, commercial, policy and third sector organisations.  applications from smes are welcome.  data access must reference admission and the papers which describe this resource.  there is a single data access process, with public oversight provided by our public review committee, the data trust committee.  contact pioneer@uhb.nhs.uk or visit www.pioneerdatahub.co.uk for more details.

available supplementary data: matched controls; ambulance and community data. unstructured data (images).  we can provide the dataset in omop and other common data models and can build synthetic data to meet bespoke requirements.

available supplementary support: analytics, model build, validation & refinement; a.i. support.  data partner support for etl (extract, transform & load) processes.  bespoke and “off the shelf” trusted research environment (tre) build and run.  consultancy with clinical, patient & end-user and purchaser access/ support.  support for regulatory requirements.  cohort discovery. data-driven trials and “fast screen” services to assess population size.

","['measurement/test', 'imaging type']",['laboratory'],"['{Field: Description, Value: laboratory}', '{Field: Description, Value: ct}']",Health and Disease; Measurement/test,Laboratory,,,,
pioneer,1e551c1c-f074-406c-a425-e9137f15cf03,,age-adjusted d-dimers: enhancing diagnosis & patient safety in thromboembolism ,"a pioneer, nihr midlands patient safety research collaborative and nihr applied research collaboration west midlands dataset of 27,526 patients with suspected/confirmed thromboembolic events including demographics, physiology, test results and outcomes.
","['Thromoboembolic', 'DVT', 'pulmonary embolus', 'Morbidities', 'Acute', 'Emergency admmissions', 'NEWS2 Score', 'Clinical outcomes']","background 

annually in the uk, around 60,000 people develop a pulmonary embolism (pe) and 200,000 a deep vein thrombosis (dvt) and the number of emergency admissions for suspected pe and dvt is increasing. diagnosing pe and dvt remains a challenge due to the non-specific nature of presenting symptoms. further tests are often required and each year the number of ctpas and uss performed for suspected vte increases. 

there is great interest in finding better tools to identify those with the highest likelihood of a dvt and pe, so that precious screening services can be focused where needed most. a number of tools have been suggested but few have been adopted in clinical practice. 

methods such as age-adjusted d-dimer tests and 4peps and 4d scores aim to predict pe and dvt more accurately. implementing a more precise system could revolutionise how we diagnose and treat these dangerous conditions. this dataset enables an exploration of vte to better understand disease, identify patients at most risk of the poorest outcomes and to improve health services through the development of new prognostic tools.  

pioneer geography: the west midlands (wm) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix._uhb is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, and 2,750 beds. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary & secondary care record (your care connected) & a patient portal “my health.”_ 

scope: enabling data-driven research and machine learning models towards improving the diagnosis of thromboembolic events (pe/dvt). real-world dataset linked. the dataset includes patient demographics, clinical scores, and medical conditions for pe/dvt patients, alongside outcomes taken from icd-10 & snomed-ct codes.  

available supplementary data: a synthetic version of thromboembolic events dataset including data pre-processing, synthetising, and post-process steps. 

available supplementary support: pioneer can also offer analytics, model build, validation & refinement; a.i.; data partner support for etl (extract, transform & load) process, clinical expertise, patient & end-user access, purchaser access, regulatory requirements, data-driven trials, “fast screen” services. 

this research is supported by the national institute for health and care research (nihr) midlands patient safety research collaboration (psrc). 

this dataset was prepared by and is available through pioneer, with the support of the nihr applied research collaboration west midlands (nihr arc wm).  ",[],[],[],Health and Disease; Measurement/test,Cardiovascular,,,,
pioneer,a3df71ea-73cc-4f5b-ba57-39c175c54b77,,air quality & health data: longitudinal impact of a clean air zone on asthma,"this dataset comprises 181,207 acute asthma admissions and geographically linked defra air pollution data over 6-years including a clean air zone in 2021. demographics, admissions, serial physiology, diagnostic codes, symptoms, medications and outcomes.","['Clean Air Zones', 'CAZ', 'Air pollution control', 'asthma', 'hospitalisations', 'Environmental health', 'Urban air quality', 'Respiratory conditions', 'Emission reduction', 'Public health policy', 'Airborne pollutants impact', 'Acute asthma management', 'acute', 'respiratory', 'DEFRA', 'air pollution', 'acuity', 'emergency admissions', 'acute asthma', 'deprivation']","this dataset, curated by pioneer, encompasses a detailed collection of 181,207 asthma admissions from 1st june 2016 to 31st may 2022, offering a comprehensive analysis tool for researchers examining the effects of air quality on respiratory health. it includes extensive patient demographics, serial physiological measurements, assessments, diagnostic codes (icd-10 and snomed-ct), initial presentations, symptoms, and outcomes. additionally, it integrates defra air pollution data, geographically linked t individual health data, allowing for a nuanced exploration of environmental impacts on asthma incidence and severity. the dataset includes 4 years of data prior to and currently 1 year post introduction of the clean air zone.
 
the dataset invites longitudinal studies to evaluate the clean air zones' effectiveness. timelines post-introduction of the clean air zone can be expanded to include data up to 2024.   its granular detail provides invaluable insights into emergency medicine, public health policy, and environmental science, supporting targeted interventions and policy formulations aimed at reducing asthma exacerbations and improving air quality standards.

geography: the west midlands (wm) has a population of 6 million & includes a diverse ethnic & socio-economic mix. uhb is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & > 120 itu bed capacity. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary & secondary care record (your care connected) & a patient portal “my health”.

data set availability:  data access is available via the pioneer hub for projects which will benefit the public or patients.  this can be by developing a new understanding of disease, by providing insights into how to improve care, or by developing new models, tools, treatments, or care processes. data access can be provided to nhs, academic, commercial, policy and third sector organisations.  applications from smes are welcome.  there is a single data access process, with public oversight provided by our public review committee, the data trust committee.  contact pioneer@uhb.nhs.uk or visit www.pioneerdatahub.co.uk for more details.

available supplementary data: matched controls; ambulance and community data. unstructured data (images).  we can provide the dataset in omop and other common data models and can build synthetic data to meet bespoke requirements.

available supplementary support: analytics, model build, validation & refinement; a.i. support.  data partner support for etl (extract, transform & load) processes.  bespoke and “off the shelf” trusted research environment (tre) build and run.  consultancy with clinical, patient & end-user and purchaser access/ support.  support for regulatory requirements.  cohort discovery. data-driven trials and “fast screen” services to assess population size.","['health and disease', 'imaging type', 'socioeconmic']","['respiratory', 'deprivation']","['{Field: Description, Value: respiratory}', '{Field: Keywords, Value: respiratory}', '{Field: Description, Value: ct}', '{Field: Keywords, Value: deprivation}']",Health and Disease; Measurement/test,Respiratory,,,,
pioneer,de8095aa-d658-4996-a172-10b150332ab7,,an nihr birmingham brc dataset of severity scores and outcomes in critical care.,"an nihr birmingham biomedical research centre dataset of 21,581 intensive care admissions including demographic data, severity scores (apache, saps, sofa) with investigations, serial physiology, treatments, and outcomes up to one year post admission.","['\u200bICU', '\u200b\u200bPrognostic Scores', 'Severity Scores', 'Prediction Models', 'Critical Care', 'APACHE', 'SAPS', 'SOFA']","a highly granular dataset of 21,581 critical care admissions, curated by the nihr birmingham biomedical research centre infection and acute care theme in collaboration with pioneer. the data includes initial presentation, presenting symptoms, and several pre-calculated severity scoring systems including simple acute physiology score (saps), the acute physiology and chronic health evaluation (apache) and the sequential organ failure assessment (sofa) score. data includes demography, serial physiology, ventilatory parameters, investigations, treatments (drug, dose, route), diagnostic codes (icd-10 & snomed-ct) and outcomes, following patients for one year. this can be supplemented with imaging (results and images) and linked to ambulance conveyance and longer-term outcomes in the community. the current dataset includes admissions from 2017 to 2023 but can be expanded to assess other timelines of interest.

geography: the west midlands (wm) has a population of 6 million & includes a diverse ethnic & socio-economic mix. uhb is one of the largest nhs trusts in england, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & > 120 itu bed capacity. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary & secondary care record (your care connected) & a patient portal “my health”.

data set availability: data access is available via the pioneer hub for projects which will benefit the public or patients. this can be by developing a new understanding of disease, by providing insights into how to improve care, or by developing new models, tools, treatments, or care processes. data access can be provided to nhs, academic, commercial, policy and third sector organisations. applications from smes are welcome. there is a single data access process, with public oversight provided by our public review committee, the data trust committee. contact pioneer@uhb.nhs.uk or visit www.pioneerdatahub.co.uk for more details.
    
available supplementary data: matched controls; ambulance and community data. unstructured data (images). we can provide the dataset in omop and other common data models and can build synthetic data to meet bespoke requirements.

available supplementary support: analytics, model build, validation & refinement; a.i. support. data partner support for etl (extract, transform & load) processes. bespoke and “off the shelf” trusted research environment (tre) build and run.  consultancy with clinical, patient & end-user and purchaser access/ support. support for regulatory requirements.  cohort discovery. data-driven trials and “fast screen” services to assess population size.",['imaging type'],[],"['{Field: Description, Value: ct}']",Health and Disease; Treatment /Intervention,Other,,,,
pioneer,10bd5205-5d7d-4d77-baef-4a6237ce7c75,,antimicrobial prescribing surveillance data during the covid-19 pandemic,"deeply phenotyped population-level surveillance of therapeutic or preventative antimicrobial interventions of hospitalised covid-19 patients; including comorbidity data; physiology, blood biomarkers, and outcomes. longitudinal and individually linked. ","['SARS-CoV-2', 'Antibiotic stewardship', 'antibiotic prescribing', 'COVID-19', 'Bacterial Infection', 'Pneumonia', 'Antimicrobial stewardship', 'comorbidity', 'decovid', 'Emergency admissions', 'bacteraemia', 'antibiotic therapy']","the use of antimicrobial drugs is linked to antimicrobial resistance which can lead to infections that are harder to treat and may be associated with worse outcomes for the patient.  

the use of antibiotics changed in hospital during the different waves of the covid-19 pandemic, as data was used to assess if antibiotic therapy was associated with better health outcomes for patients with confirmed covid-19. looking at changes in health outcomes linked to antibiotic therapy across the whole hospital instead of only patients with covid-19 over time will help understand if changes to antibiotic use during the pandemic may have had an impact on the risk of antibiotic resistance. 

pioneer geography the west midlands (wm) has a population of 5.9 million and includes a diverse ethnic and socio-economic mix.  

ehr: uhb is one of the largest nhs trusts in england, providing direct acute services and specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds and an expanded 250 itu bed capacity during covid. uhb runs a fully electronic healthcare record (ehr) (pics; birmingham systems), a shared primary and secondary care record (your care connected) and a patient portal “my health”. 

scope:  longitudinal and individually linked, so that the preceding and subsequent health journey can be mapped and healthcare utilisation prior to and after admission understood. the dataset includes highly granular patient demographics, co-morbidities taken from icd-10 and snomed-ct codes. serial, structured data pertaining to process of care (timings, wards and admissions), surgery procedures, microbiology reports, covid results, prescriptions, drug administered and all outcomes. 

available supplementary data: matched controls; ambulance, omop data, synthetic data. 

available supplementary support: analytics, model build, validation and refinement; a.i.; data partner support for etl (extract, transform and load) process, clinical expertise, patient and end-user access, purchaser access, regulatory requirements, data-driven trials, “fast screen” services. ",['treatment /intervention'],['therapeutic'],"['{Field: Abstract, Value: therapeutic}']",Health and Disease; Treatment /Intervention,Therapeutic,,,,
