#,_id,license,description,name,tags,link,authors_names,categories,programmingLanguage,MK2 Programming Language (array),Language 1,Language 2,Package,resultsInsights,Team_owner,License MK2,License2 MK2,License Notes,Category,Category2,Category3,Category Notes,General note,MK2 Package,MK2 License (array),MK2 Type_Category (array)
0,5ece82142abda8b3a06f1a1b,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,0,CMMID Interactive Applications,"{'topics': ['COVID-19'], 'features': ['Modelling', 'Visualisation']}",https://cmmid.github.io/visualisations,['LSHTM'],"{'category': 'Data Modelling', 'programmingLanguageVersion': '', 'programmingLanguage': ['R']}","[{'programmingLanguage': 'R', 'version': ''}]","R, ",R,,Data modelling,0,London School of Hygiene and Tropical Medicine,Available upon request,,,Analysis,Reference documents/ Catalogue,,,Does an organisation need a Team on the Gateway in order to be able to have an organisational point of contact?,Data modelling,", ","Analysis, Reference documents/ Catalogue, "
1,5ece82142abda8b3a06f1a1c,MIT,"This application runs in the background and identifies other people running the app within the local area by using low energy Bluetooth. While the app is running permanently in the background, it periodically broadcasts and listens for other Bluetooth-enabled devices (iOS and Android at this time) that also broadcast the same unique identifier.",COVID-19 Contact Tracing App - Android,"{'topics': ['COVID-19'], 'features': ['Contact Tracing', 'Android']}",https://github.com/nhsx/COVID-19-app-Android-BETA,['NHSX'],"{'programmingLanguage': ['Java'], 'programmingLanguageVersion': '', 'category': 'Mobile Application'}","[{'programmingLanguage': 'Java', 'version': ''}]","Java, ",Java,,,0,NHS England,The MIT License,,MIT,Data collection/Management,,,,Does an organisation need a Team on the Gateway in order to be able to have an organisational point of contact?,,"The MIT License, ","Data collection/Management, , "
2,5ece82142abda8b3a06f1a1d,MIT,"This application runs in the background and identifies other people running the app within the local area by using low energy Bluetooth. While the app is running permanently in the background, it periodically broadcasts and listens for other Bluetooth-enabled devices (iOS and Android at this time) that also broadcast the same unique identifier.",COVID-19 Contact Tracing App - iOS,"{'topics': ['COVID-19'], 'features': ['Contact Tracing', 'iOS']}",https://github.com/nhsx/COVID-19-app-iOS-BETA,['NHSX'],"{'category': 'Mobile Application', 'programmingLanguage': ['Objective-C'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Objective-C', 'version': ''}]","C, ",C,,,0,NHS England,The MIT License,,MIT,Data collection/Management,,,,Does an organisation need a Team on the Gateway in order to be able to have an organisational point of contact?,,"The MIT License, ","Data collection/Management, , "
3,5ece82142abda8b3a06f1a1e,GPL_3_0,"This is the COVID-19 CovidSim microsimulation model developed by the MRC Centre for Global Infectious Disease Analysis hosted at Imperial College, London.",COVID-19 CovidSim Microsimulation Model,"{'features': ['Modelling'], 'topics': ['COVID-19']}",https://github.com/mrc-ide/covid-sim,['Imperial College'],"{'category': 'Data Modelling', 'programmingLanguage': ['C++'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'C++', 'version': ''}]","C++, ",C++,,Data modelling,0,Imperial College,GNU General Public License version 3,,GPLv3,Analysis,,,,Does an organisation need a Team on the Gateway in order to be able to have an organisational point of contact?,Data modelling,"GNU General Public License version 3, ","Analysis, , "
4,5ece82142abda8b3a06f1a1f,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,https://www.arcgis.com/apps/opsdashboard/index.html#/f94c3c90da5b4e9f9a0b19484dd4bb14,Public Health England COVID-19 Tracker,"{'features': ['NCS'], 'topics': ['COVID-19']}",https://www.arcgis.com/apps/opsdashboard/index.html#/f94c3c90da5b4e9f9a0b19484dd4bb14,['Public Health England'],"{'category': 'Data Visualisation', 'programmingLanguage': [], 'programmingLanguageVersion': ''}","[{'_id': ObjectId('600842b6b97df13d45260623'), 'programmingLanguage': 'Other', 'version': ''}]","Other, ",Other,,Data visualisation,0,UK Health Security Agency (UKHSA),Available upon request,,,Reporting/ Visualisations/ Dashboards,Not appropriate for the Gateway?,,"dead link that suggests to go https://coronavirus.data.gov.uk/

May not need to reject, it is similar to the first entry which was also a dashboard",Does an organisation need a Team on the Gateway in order to be able to have an organisational point of contact?,Data visualisation,", ","Reporting/ Visualisations/ Dashboards, , "
5,5ece82142abda8b3a06f1a20,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,0,COVID-19 Phenomics,"{'topics': ['COVID-19'], 'features': ['Phenomics']}",http://covid19-phenomics.org/,['UCL'],"{'category': 'Phenomics', 'programmingLanguage': [], 'programmingLanguageVersion': ''}",0,"Not applicable, ",Not applicable,,,0,,Available upon request,,,Reference documents/ Catalogue,,,"This is a collection of helper tools, software and dashboards",Does an organisation need a Team on the Gateway in order to be able to have an organisational point of contact?,,", ","Reference documents/ Catalogue, , "
6,5ece82142abda8b3a06f1a21,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,"The COVID Symptom Study app has been developed by Kingâ€™s College London and health science company ZOE, and it is endorsed by the Welsh Government, NHS Wales, the Scottish Government and NHS Scotland.

More than 2.5 million participants have downloaded the app and are using it to regularly report on their health in order to help stop COVID.",COVID-19 Symptom Tracker App,"{'features': ['Symptom Tracker', ' NCS'], 'topics': ['COVID-19']}",https://covid.joinzoe.com/,['Zoe Global Ltd'],"{'category': 'Mobile Application', 'programmingLanguage': [], 'programmingLanguageVersion': ''}","[{'_id': ObjectId('600570b53d27710b3a42ebba'), 'programmingLanguage': 'Other', 'version': ''}]","Other, ",Other,,,0,Zoe Global Ltd,Available upon request,,,Reference documents/ Catalogue,Not appropriate for the Gateway?,,"No idea what this is, redirects to: https://health-study.zoe.com/

looks like an advert for some bullshit spin out from covid 

it may once have linked to some sort of data collection/ covid tracker?",Does an organisation need a Team on the Gateway in order to be able to have an organisational point of contact?,,", ","Reference documents/ Catalogue, , "
7,5ece82142abda8b3a06f1a22,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,Help paint a more accurate picture of covid-19 in your community,C19 Track,"{'features': ['Community Tracking'], 'topics': ['COVID-19']}",https://c19track.com/,['University of St. Andrews'],"{'category': 'Questionnaire', 'programmingLanguageVersion': '', 'programmingLanguage': []}",0,"Other, ",Other,,,0,,Available upon request,,,Reference documents/ Catalogue,Not appropriate for the Gateway?,,"Dead link- may once have been a link to a website with some info about a covid tracker, which doesnâ€™t fit into really any of our definitions?",Broken link,,", ","Reference documents/ Catalogue, , "
8,5ece82142abda8b3a06f1a23,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,0,BSTI COVID-19 Imaging Database,"{'topics': ['COVID-19'], 'features': []}",https://www.bsti.org.uk/training-and-education/covid-19-bsti-imaging-database/,[],"{'category': '', 'programmingLanguage': [], 'programmingLanguageVersion': ''}",0,"Other, ",Other,,,0,,Available upon request,,,Reference documents/ Catalogue,Not appropriate for the Gateway?,,An external database?? Should be a dataset then?,,,", ","Reference documents/ Catalogue, , "
9,5ece82142abda8b3a06f1a24,APACHE_2_0,"We recently used large-scale samples of NHS patient data to estimate the excess risk of mortality which may be associated with coronavirus (COVID-19). We wanted to develop this research to inform simple tools to allow interaction and exploration by policymakers, researchers and the public. In the OurRisk.CoV tool, we provide our initial learning in relation to the implementation and development of policy responses to the COVID-19 pandemic. We have provided some simple tools to allow interaction and exploration.

OurRisk.CoV is initially intended for use by researchers, policy makers and those who seek to work with patient data to inform responses to the current emergency.",OurRisk.CoV,"{'features': ['Risk Calculator', 'electronic health records'], 'topics': ['COVID-19']}",https://covid19-phenomics.org/PrototypeOurRiskCoV.html,['UCL'],"{'category': 'Risk prediction', 'programmingLanguage': ['R', 'R-Shiny'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'R', 'version': ''}, {'programmingLanguage': 'R-Shiny', 'version': ''}]","R, ",R,,Data visualisation,0,University College London,"Apache License, Version 2.0",,,Reference documents/ Catalogue,Not appropriate for the Gateway?,,"Dead link- may once have been a link to a dashboard with some info about a covid tracker, which doesnâ€™t fit into really any of our definitions?",Broken link,Data visualisation,"Apache License, Version 2.0, ","Reference documents/ Catalogue, , "
10,5eda27d4aac50ef405c861fd,GPL_3_0,"This project comprises a set of R packages to assist in epidemiological studies using electronic health records databases.

CALIBER (http://caliberresearch.org/) is led from the Farr Institute @ London. CALIBER investigators represent a collaboration between epidemiologists, clinicians, statisticians, health informaticians and computer scientists with initial funding from the Wellcome Trust and the National Institute for Health Research.

The goal of CALIBER is to provide evidence across different stages of translation, from discovery, through evaluation to implementation where electronic health records provide new scientific opportunities.
",CALIBER health records research toolkit,"{'features': ['Imputation', 'Phenomics', 'Data management', 'Natural language processing'], 'topics': []}",http://caliberanalysis.r-forge.r-project.org/,0,"{'programmingLanguage': ['R'], 'category': 'Package', 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'R', 'version': ''}]","R, ",R,,Natural Langauge Processing,0,,GNU General Public License version 3,,GNU General Public License (GPL),Analysis,,,,,Natural Langauge Processing,"GNU General Public License version 3, ","Analysis, , "
